cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
41100.0,0.6599999999999999,485.86,124740.0,8.08,9.4,77.97999999999999,2.0
41400.0,0.8,492.32,124800.0,8.459999999999999,9.48,20.44,2.0
41700.0,0.74,501.68,145800.0,8.620000000000001,9.459999999999999,26.0,2.0
42000.0,1.16,518.3,131600.0,8.54,9.4,41.88,2.0
42300.0,0.96,497.76000000000005,184000.0,7.959999999999999,9.459999999999999,21.22,2.0
42600.0,0.9199999999999999,479.02,111700.0,7.26,9.4,19.759999999999998,2.0
42900.0,1.16,460.2,116700.0,6.4,9.26,26.060000000000002,2.0
43200.0,1.5,498.08000000000004,127800.0,7.459999999999999,9.26,62.42,2.0
43500.0,1.3,507.5,124160.0,7.540000000000001,9.08,60.52,2.0
43800.0,1.1400000000000001,497.78000000000003,137400.0,7.4,8.92,52.720000000000006,2.0
44100.0,1.1400000000000001,501.86,111800.0,7.540000000000001,8.9,51.0,2.0
44400.0,1.24,499.08000000000004,125400.0,7.88,8.959999999999999,56.04,2.0
44700.0,1.1800000000000002,511.83000000000004,122600.0,7.58,8.88,64.17999999999999,2.0
45000.0,1.1800000000000002,506.03999999999996,135000.0,7.2,8.78,65.53999999999999,2.0
45300.0,1.28,512.4399999999999,126400.0,5.58,8.459999999999999,119.92,2.0
45600.0,1.26,445.03999999999996,106300.0,3.56,8.4,274.58000000000004,2.0
45900.0,1.2,435.73999999999995,139600.0,3.06,8.5,351.34,2.0
46200.0,1.3599999999999999,432.8,119800.0,3.06,8.72,349.65999999999997,2.0
46500.0,1.34,429.08000000000004,120600.0,2.56,8.6,349.21999999999997,2.0
46800.0,1.56,430.82,123400.0,2.66,8.639999999999999,346.54,2.0
47100.0,1.44,432.93999999999994,122200.0,2.54,8.54,343.04,2.0
47400.0,1.22,430.64,129660.0,3.7,8.3,356.26,2.0
47700.0,1.1800000000000002,429.7,139600.0,3.16,8.4,76.88,2.0
48000.0,1.3599999999999999,418.93999999999994,127200.0,1.64,8.540000000000001,14.419999999999998,2.0
48300.0,1.34,416.8,122920.0,1.52,8.52,14.8,2.0
48600.0,1.2233333333333332,426.43,124223.33333333333,1.28,8.440000000000001,352.1,2.0
48900.0,1.2666666666666668,441.4,140566.66666666666,1.1,8.28,334.36,2.0
49200.0,1.1400000000000001,478.4,185400.0,1.2,8.4,329.34000000000003,2.0
49500.0,1.04,476.7,183200.0,0.15999999999999998,8.26,337.34000000000003,2.0
49800.0,0.9800000000000001,475.32,169200.0,-0.32,8.34,334.54,2.0
50100.0,1.0,480.58000000000004,161600.0,0.0,8.3,335.54,2.0
50400.0,1.0,478.1,151600.0,0.9,8.360000000000001,335.98,2.0
50700.0,0.9800000000000001,472.93999999999994,130000.0,0.3,8.32,340.18,2.0
51000.0,0.78,474.16,156600.0,-0.13999999999999999,8.28,337.2,2.0
51300.0,0.9199999999999999,494.91999999999996,248200.0,2.92,8.280000000000001,333.74,2.0
51600.0,0.9,491.02,249000.0,1.94,8.38,336.44,2.0
51900.0,0.8400000000000001,477.66,185600.0,-0.08000000000000002,8.48,341.88,2.0
52200.0,0.8800000000000001,473.4,215400.0,0.5,8.62,337.46,2.0
52500.0,0.86,467.48,209800.0,1.3199999999999998,8.68,339.12,2.0
52800.0,0.8200000000000001,471.02,231200.0,2.16,8.68,340.12,2.0
53100.0,0.86,475.03999999999996,268200.0,3.06,8.7,337.5,2.0
53400.0,0.86,474.62,230000.0,3.38,8.84,335.94,2.0
53700.0,0.8,463.3,191600.0,2.92,8.780000000000001,343.64,2.0
54000.0,0.8800000000000001,456.58000000000004,202200.0,1.34,8.719999999999999,346.41999999999996,2.0
54300.0,0.86,462.1,231600.0,1.78,8.8,341.52,2.0
54600.0,0.8200000000000001,463.94000000000005,235600.0,2.54,8.76,339.64,2.0
54900.0,0.78,476.53999999999996,226800.0,3.22,8.8,335.2,2.0
55200.0,0.8400000000000001,472.58000000000004,233400.0,3.08,8.76,335.34000000000003,2.0
55500.0,0.78,464.16,194400.0,1.2600000000000002,8.66,341.04,2.0
55800.0,0.9,475.46000000000004,239400.0,-1.8199999999999998,8.7,346.6,2.0
56100.0,0.9800000000000001,476.84,198400.0,-1.48,8.6,348.24,2.0
56400.0,0.9800000000000001,480.03999999999996,202200.0,-2.5799999999999996,8.6,352.12,2.0
56700.0,0.9733333333333334,498.82,195600.0,-4.18,8.540000000000001,286.08000000000004,2.0
57000.0,1.0466666666666666,503.5,160000.0,-4.42,8.42,351.3,2.0
57300.0,1.52,527.36,171600.0,-4.82,8.4,323.14,2.0
57600.0,2.2199999999999998,536.52,117100.0,-6.2,8.82,310.21999999999997,2.0
57900.0,2.3,534.62,127800.0,-6.659999999999999,8.98,338.1,2.0
58200.0,1.64,520.28,107440.0,-6.34,8.92,352.41999999999996,2.0
58500.0,2.54,529.3199999999999,141000.0,-7.659999999999999,8.74,140.64,2.0
58800.0,2.38,504.3,124000.0,-7.4,8.639999999999999,6.3,2.0
