,Unnamed: 0,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index,midi_spec_band_grain_id,midi_rms_grain_id,midi_mfcc_grain_id,dp_spec_band_grain_id,dp_rms_grain_id,dp_mfcc_grain_id,bz_scaled,speed_scaled
143,143,42900,1.16,460.2,116700.0,6.4,9.26,26.06,8,1102.0,1156.0,35.0,778.0,1157.0,919.0,2846.611851431812,1.1987214868485754
144,144,43200,1.5,498.08,127800.0,7.46,9.26,62.42,8,1142.0,1734.0,1534.0,489.0,1163.0,1803.0,2921.746526793309,1.2367356769395967
145,145,43500,1.3,507.5,124160.0,7.54,9.08,60.52,7,1702.0,1594.0,30.0,1020.0,1242.0,187.0,2927.4170683300254,1.2461890473371
146,146,43800,1.14,497.78,137400.0,7.4,8.92,52.72,7,1293.0,1985.0,497.0,922.0,1406.0,936.0,2917.4936206407715,1.236434614188084
147,147,44100,1.14,501.86,111800.0,7.54,8.9,51.0,7,1740.0,1640.0,1263.0,567.0,1358.0,1728.0,2927.4170683300254,1.2405290676086587
148,148,44400,1.24,499.08,125400.0,7.88,8.96,56.04,8,1969.0,1083.0,1994.0,1849.0,1334.0,1701.0,2951.5168698610723,1.2377392194446395
149,149,44700,1.18,511.83,122600.0,7.58,8.88,64.18,8,1808.0,1902.0,134.0,337.0,470.0,1098.0,2930.2523390983843,1.2505343863839353
150,150,45000,1.18,506.04,135000.0,7.2,8.78,65.54,7,1560.0,1573.0,1518.0,1462.0,1028.0,96.0,2903.3172667989797,1.2447238752797376
151,151,45300,1.28,512.44,126400.0,5.58,8.46,119.92,5,1062.0,1500.0,1197.0,1531.0,1514.0,1340.0,2788.488800680465,1.2511465473120114
152,152,45600,1.26,445.04,106300.0,3.56,8.4,274.58,8,99.0,1763.0,693.0,506.0,311.0,1556.0,2645.307626878367,1.1835077824721267
153,153,45900,1.2,435.74,139600.0,3.06,8.5,351.34,7,11.0,1568.0,1214.0,1197.0,503.0,839.0,2609.8667422738877,1.1741748371752285
154,154,46200,1.36,432.8,119800.0,3.06,8.72,349.66,5,1748.0,537.0,1185.0,784.0,1182.0,358.0,2609.8667422738877,1.1712244222104027
155,155,46500,1.34,429.08,120600.0,2.56,8.6,349.22,8,1587.0,1033.0,1839.0,1260.0,246.0,355.0,2574.425857669408,1.1674912440916434
156,156,46800,1.56,430.82,123400.0,2.66,8.64,346.54,8,53.0,639.0,34.0,674.0,1702.0,1013.0,2581.5140345903037,1.169237408050418
157,157,47100,1.44,432.94,122200.0,2.54,8.54,343.04,7,331.0,1350.0,174.0,1281.0,1857.0,1319.0,2573.0082222852284,1.1713649181611088
158,158,47400,1.22,430.64,129660.0,3.7,8.3,356.26,7,1477.0,592.0,359.0,1688.0,1052.0,833.0,2655.231074567622,1.1690567703995103
159,159,47700,1.18,429.7,139600.0,3.16,8.4,76.88,8,1008.0,1469.0,668.0,1504.0,725.0,969.0,2616.954919194783,1.16811344044477
160,160,48000,1.36,418.94,127200.0,1.64,8.54,14.42,8,1425.0,2005.0,332.0,1132.0,486.0,1331.0,2509.214629997165,1.1573153230905096
161,161,48300,1.34,416.8,122920.0,1.52,8.52,14.8,5,1366.0,462.0,117.0,1560.0,1883.0,584.0,2500.70881769209,1.155167742129718
162,162,48600,1.223333333,426.43,124223.3333,1.28,8.44,352.1,8,1691.0,1102.0,1824.0,1875.0,353.0,1521.0,2483.6971930819395,1.16483185645328
163,163,48900,1.266666667,441.4,140566.6667,1.1,8.28,334.36,9,47.0,407.0,1662.0,1807.0,1061.0,18.0,2470.938474624327,1.1798548877537707
164,164,49200,1.14,478.4,185400.0,1.2,8.4,329.34,5,1237.0,1505.0,351.0,1756.0,69.0,1868.0,2478.026651545223,1.2169859604403543
165,165,49500,1.04,476.7,183200.0,0.16,8.26,337.34,8,1960.0,340.0,1470.0,1143.0,1560.0,1207.0,2404.3096115679045,1.2152799381817816
166,166,49800,0.98,475.32,169200.0,-0.32,8.34,334.54,7,896.0,1197.0,1379.0,1598.0,1548.0,880.0,2370.286362347604,1.2138950495248226
167,167,50100,1.0,480.58,161600.0,0.0,8.3,335.54,7,992.0,278.0,908.0,1166.0,1502.0,830.0,2392.9685284944712,1.2191736831013478
